BEER NAME,BREWERY,FLAVOR,ABV%,CLASS ,IMAGE,CREATEDAT,UPDATEDAT
Mocha Porter,Rogue,Porter,5.6,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560476/gentledrinkers/Mocha-Porter.jpg,2021-03-27 8:51:41,2020-05-28 4:43:55
Mole Porter,Second Self,Porter,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560476/gentledrinkers/Mole-Porter.png,2021-03-28 8:51:41,2020-05-29 4:43:55
Moohoo,Terrapin,Milk Stout,6,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560476/gentledrinkers/Moohoo.png,2021-03-29 8:51:41,2020-05-30 4:43:55
Narwhal,Sierra Nevada,Imperial Stout,10.2,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560477/gentledrinkers/Narwhal.png,2021-03-30 8:51:41,2020-05-31 4:43:55
Neapolitan Milkshake Stout,Scofflaw,Milk Stout,5.5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560476/gentledrinkers/Neapolitan-Milkshake-Stout.png,2021-03-31 8:51:41,2020-06-01 4:43:55
Organic Chocolate Stout,Samuel Smith's,Stout,5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560477/gentledrinkers/Organic-Chocolate-Stout.jpg,2021-04-01 8:51:41,2020-06-02 4:43:55
Peanut Butter Chocolate Stout,Catawba,Stout,5.4,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560477/gentledrinkers/Peanut-Butter-Chocolate-Porter.png,2021-04-02 8:51:41,2020-06-03 4:43:55
Peanut Butter Porter,Back Forty (Gadsden),Porter,10,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560477/gentledrinkers/Peanut-Butter-Porter.png,2021-04-03 8:51:41,2020-06-04 4:43:55
Pineapple Beach,Funky Buddha,Blonde Ale,5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560477/gentledrinkers/Pineapple-Beach.png,2021-04-04 8:51:41,2020-06-05 4:43:55
Pink Guava Funk,Prairie,Sour Wild Ale,6.3,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560478/gentledrinkers/Pink-Guava-Funk.jpg,2021-04-05 8:51:41,2020-06-06 4:43:55
Porter,Duck Rabbit,Porter,5.4,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560478/gentledrinkers/Porter-Duck-Rabbit.png,2021-04-06 8:51:41,2020-06-07 4:43:55
Porter,Founders,Porter,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560478/gentledrinkers/Porter-Founders.jpg,2021-04-07 8:51:41,2020-06-08 4:43:55
Prairie Flare,Prairie,Leipzig Gose,5.4,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560478/gentledrinkers/Prairie-Flare.jpg,2021-04-08 8:51:41,2020-06-09 4:43:55
Raspberry Sour,10 Barrel,Sour Ale,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560479/gentledrinkers/Raspberry-Sour.jpg,2021-04-09 8:51:41,2020-06-10 4:43:55
Red and Black,Southern Brewing,Sour Berliner Weisse,4.5,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560479/gentledrinkers/Red-and-Black.jpg,2021-04-10 8:51:41,2020-06-11 4:43:55
Rollin' Deep Cinnamon Roll,Wild Leap,Stout,8.5,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560479/gentledrinkers/Rollin-Deep-Cinnamon-Roll.png,2021-04-11 8:51:41,2020-06-12 4:43:55
Rowdy and Proud,Three Taverns,IPA,6,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560479/gentledrinkers/Rowdy-And-Proud.jpg,2021-04-12 8:51:41,2020-06-13 4:43:55
Salted Caramel Chocolate Porter,Genesee,Porter,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560480/gentledrinkers/Salted-Caramel-Chocolate-Porter.jpg,2021-04-13 8:51:41,2020-06-14 4:43:55
Samoa This,Southern Tier,Imperial Stout,10,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560480/gentledrinkers/Samoa-This.jpg,2021-04-14 8:51:41,2020-06-15 4:43:55
Schwarzchild Porter,Southern Sky,Porter,6,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560480/gentledrinkers/Schwarzchild-Porter.jpg,2021-04-15 8:51:41,2020-06-16 4:43:55
SeaQuench Ale,Dogfish Head,Sour Ale,4.9,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560480/gentledrinkers/Seaquench-Ale.jpg,2021-04-16 8:51:41,2020-06-17 4:43:55
Sticky Treats,Funky Buddha,Blonde Ale,5.1,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560480/gentledrinkers/Sticky-Treats.jpg,2021-04-17 8:51:41,2020-06-18 4:43:55
T-Time,Terrapin,Berliner Weisse,4,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560481/gentledrinkers/T-Time.jpg,2021-04-18 8:51:41,2020-06-19 4:43:55
To Gose,Abita,Gose,4.1,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560481/gentledrinkers/To-Gose.png,2021-04-19 8:51:41,2020-06-20 4:43:55
Two claw IPA,Westbrook,IPA,7,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560481/gentledrinkers/Two-claw-IPA.jpg,2021-04-20 8:51:41,2020-06-21 4:43:55
Vanilla Porter,Breckenridge,Porter,5.4,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560481/gentledrinkers/Vanilla-Porter.png,2021-04-21 8:51:41,2020-06-22 4:43:55
Wake N Bake Coffee Imperial Stout,Terrapin,Imperial Stout,9.4,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560481/gentledrinkers/Wake-N-Bake-Coffee-Imperial-Stout.png,2021-04-22 8:51:41,2020-06-23 4:43:55
Watermelon Gose,Terrapin,Gose,4.3,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560482/gentledrinkers/Watermelon-Gose.png,2021-04-23 8:51:41,2020-06-24 4:43:55
Wheels Gose Round,Left Hand,Leipzig Gose,4.4,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560482/gentledrinkers/Wheels-Gose-Round.png,2021-04-24 8:51:41,2020-06-25 4:43:55
Wild Sour Cranberry Criek,Destihl,Sour Ale,5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560482/gentledrinkers/Wild-Sour-Cranberry-Criek.png,2021-04-25 8:51:41,2020-06-26 4:43:55
Winter Cheers,Victory,Wheat Ale,6.7,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560483/gentledrinkers/Winter-Cheers.png,2021-04-26 8:51:41,2020-06-27 4:43:55
